observation_id|report_type|date_time|date_time_meaning|latitude|longitude|observation_height_above_station_surface|observed_variable|units|observation_value|value_significance|observation_duration|platform_type|station_type|primary_station_id|station_name|quality_flag|data_policy_licence|source_id 
AG000060590-3-1893-06-85-2|2|1893-06-01 00:00:00+00|1|30.5667|2.8667|2|85|005|304.67|2|14||1|AG000060590|EL-GOLEA GSN|3|1|229
AG000060590-3-1893-06-44-13|2|1893-06-01 00:00:00+00|1|30.5667|2.8667|1|44|710|0.0|13|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1893-07-85-0|2|1893-07-01 00:00:00+00|1|30.5667|2.8667|2|85|005|319.11|0|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1893-07-85-1|2|1893-07-01 00:00:00+00|1|30.5667|2.8667|2|85|005|299.56|1|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1893-07-85-2|2|1893-07-01 00:00:00+00|1|30.5667|2.8667|2|85|005|309.33|2|14||1|AG000060590|EL-GOLEA GSN|3|1|229
AG000060590-3-1893-07-44-13|2|1893-07-01 00:00:00+00|1|30.5667|2.8667|1|44|710|0.0|13|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1893-08-85-0|2|1893-08-01 00:00:00+00|1|30.5667|2.8667|2|85|005|317.00|0|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1893-08-85-1|2|1893-08-01 00:00:00+00|1|30.5667|2.8667|2|85|005|297.30|1|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1893-08-85-2|2|1893-08-01 00:00:00+00|1|30.5667|2.8667|2|85|005|307.15|2|14||1|AG000060590|EL-GOLEA GSN|3|1|229
AG000060590-3-1893-08-44-13|2|1893-08-01 00:00:00+00|1|30.5667|2.8667|1|44|710|0.0|13|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1893-09-85-0|2|1893-09-01 00:00:00+00|1|30.5667|2.8667|2|85|005|316.93|0|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1893-09-85-1|2|1893-09-01 00:00:00+00|1|30.5667|2.8667|2|85|005|294.51|1|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1893-09-85-2|2|1893-09-01 00:00:00+00|1|30.5667|2.8667|2|85|005|305.72|2|14||1|AG000060590|EL-GOLEA GSN|3|1|229
AG000060590-3-1893-09-44-13|2|1893-09-01 00:00:00+00|1|30.5667|2.8667|1|44|710|0.0|13|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1893-10-85-0|2|1893-10-01 00:00:00+00|1|30.5667|2.8667|2|85|005|306.97|0|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1893-10-85-1|2|1893-10-01 00:00:00+00|1|30.5667|2.8667|2|85|005|287.06|1|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1893-10-85-2|2|1893-10-01 00:00:00+00|1|30.5667|2.8667|2|85|005|297.01|2|14||1|AG000060590|EL-GOLEA GSN|3|1|229
